age,job,marital,education,default,balance,housing,loan,contact,day,duration,campaign,pdays,previous,poutcome,y
35,technician,married,secondary,no,-255,yes,no,cellular,13,196,3,265,2,failure,no
37,management,single,tertiary,no,240,no,no,unknown,5,1123,1,-1,0,unknown,yes
54,technician,married,tertiary,no,758,yes,yes,cellular,8,554,1,-1,0,unknown,no
44,blue-collar,married,secondary,no,1087,yes,no,unknown,19,100,2,-1,0,unknown,no
60,retired,married,secondary,no,819,yes,no,unknown,19,110,2,-1,0,unknown,no
39,services,married,primary,no,324,yes,no,cellular,8,340,2,312,4,failure,no
41,blue-collar,married,secondary,yes,-750,yes,yes,cellular,21,251,3,-1,0,unknown,no
31,services,married,secondary,no,395,no,no,cellular,25,174,3,-1,0,unknown,no
43,self-employed,married,secondary,yes,-1415,no,no,cellular,10,58,1,-1,0,unknown,no
32,admin.,single,secondary,no,3950,yes,no,cellular,18,232,1,178,1,success,no
60,admin.,married,secondary,no,711,no,no,cellular,12,355,4,-1,0,unknown,no
40,management,married,tertiary,no,995,yes,no,cellular,22,96,2,-1,0,unknown,no
48,entrepreneur,married,secondary,no,2247,yes,no,unknown,2,60,9,-1,0,unknown,no
74,retired,married,unknown,no,7819,no,no,cellular,6,165,3,-1,0,unknown,no
34,technician,married,primary,no,926,yes,yes,unknown,2,142,2,-1,0,unknown,no
30,services,married,tertiary,no,81,no,no,cellular,22,145,1,-1,0,unknown,yes
46,services,married,secondary,no,184,yes,no,cellular,1,836,1,-1,0,unknown,no
28,management,single,tertiary,no,3238,yes,no,unknown,19,7,1,-1,0,unknown,no
43,services,married,secondary,no,278,yes,no,unknown,26,14,20,-1,0,unknown,no
42,unemployed,married,secondary,no,1990,yes,yes,unknown,19,13,1,-1,0,unknown,no
48,management,married,secondary,no,0,yes,yes,cellular,3,1233,1,351,2,failure,yes
31,admin.,divorced,secondary,no,-579,yes,no,unknown,26,150,1,-1,0,unknown,no
49,management,divorced,tertiary,no,5223,no,no,cellular,4,86,1,-1,0,unknown,no
28,self-employed,married,secondary,no,-522,yes,yes,cellular,18,638,2,-1,0,unknown,yes
30,blue-collar,divorced,secondary,no,-209,yes,no,unknown,6,188,2,-1,0,unknown,no
36,technician,married,secondary,no,278,no,no,cellular,28,121,16,-1,0,unknown,no
38,management,divorced,tertiary,no,151,yes,no,cellular,17,50,1,-1,0,unknown,no
37,technician,divorced,secondary,no,-18,no,no,cellular,21,870,4,-1,0,unknown,no
35,services,divorced,secondary,no,-269,yes,no,unknown,3,118,2,-1,0,unknown,no
48,unemployed,married,primary,yes,-6,no,no,cellular,29,362,2,-1,0,unknown,no
36,admin.,single,secondary,no,0,no,no,cellular,28,142,1,-1,0,unknown,no
58,retired,married,tertiary,no,2199,no,no,telephone,21,65,1,-1,0,unknown,no
52,management,married,tertiary,no,547,no,no,cellular,5,112,2,-1,0,unknown,no
47,management,married,primary,no,1222,yes,no,unknown,8,28,3,-1,0,unknown,no
60,housemaid,married,primary,no,182,no,no,cellular,26,166,5,181,5,failure,no
49,unemployed,married,secondary,no,13818,no,no,cellular,21,201,1,113,2,failure,no
37,admin.,married,tertiary,no,103,yes,yes,cellular,27,81,3,-1,0,unknown,no
60,housemaid,married,primary,no,0,no,yes,telephone,22,124,1,-1,0,unknown,no
82,retired,married,unknown,no,211,no,no,telephone,22,195,3,-1,0,unknown,no
59,technician,married,secondary,no,2308,no,no,cellular,30,815,1,87,1,other,yes
44,management,married,tertiary,no,1858,no,no,cellular,6,113,4,-1,0,unknown,no
59,management,married,tertiary,no,3779,no,no,cellular,18,93,3,-1,0,unknown,no
31,technician,married,secondary,no,141,no,no,cellular,20,110,2,-1,0,unknown,no
31,technician,single,tertiary,no,3729,yes,no,cellular,5,176,2,8,10,other,no
52,technician,married,secondary,no,1076,yes,no,cellular,13,156,2,-1,0,unknown,no
31,unemployed,single,tertiary,no,133,yes,no,unknown,9,480,2,-1,0,unknown,no
43,blue-collar,married,secondary,no,10910,yes,no,cellular,15,66,2,-1,0,unknown,no
52,blue-collar,married,secondary,no,380,yes,yes,cellular,8,58,1,-1,0,unknown,no
22,student,single,unknown,no,1215,no,no,cellular,19,145,3,192,1,failure,yes
46,blue-collar,married,secondary,no,2603,yes,yes,cellular,11,50,3,277,2,failure,no
37,self-employed,single,tertiary,no,1188,no,no,cellular,24,310,1,-1,0,unknown,yes
56,blue-collar,married,primary,no,0,no,no,cellular,7,152,6,-1,0,unknown,no
28,technician,single,secondary,no,1417,yes,no,unknown,28,491,1,-1,0,unknown,no
31,housemaid,married,secondary,no,1,yes,no,unknown,30,101,16,-1,0,unknown,no
53,unknown,married,primary,no,732,no,no,cellular,27,759,2,-1,0,unknown,yes
52,technician,married,secondary,no,1423,no,no,telephone,4,384,1,91,1,other,no
34,management,single,tertiary,no,-281,no,no,cellular,29,56,6,-1,0,unknown,no
28,technician,single,secondary,no,100,yes,no,cellular,13,70,5,-1,0,unknown,no
31,unemployed,single,secondary,no,209,yes,no,cellular,6,193,1,-1,0,unknown,no
39,management,married,tertiary,yes,47,no,no,cellular,21,28,3,158,3,failure,no
34,management,single,tertiary,no,14,yes,no,telephone,4,47,1,-1,0,unknown,no
44,management,married,tertiary,no,217,yes,no,cellular,28,203,4,-1,0,unknown,no
43,unemployed,married,secondary,no,1630,no,no,cellular,29,153,3,-1,0,unknown,no
42,self-employed,married,secondary,no,97,no,no,cellular,10,108,2,-1,0,unknown,no
52,management,married,tertiary,no,19797,yes,no,unknown,2,966,3,-1,0,unknown,no
59,housemaid,single,secondary,no,26172,no,no,cellular,18,54,2,-1,0,unknown,no
55,housemaid,married,primary,no,4,no,no,cellular,21,85,3,-1,0,unknown,no
29,blue-collar,divorced,secondary,no,291,yes,no,cellular,20,405,2,-1,0,unknown,no
26,blue-collar,single,secondary,no,2,yes,no,unknown,30,170,4,-1,0,unknown,no
53,entrepreneur,married,secondary,no,111,yes,no,unknown,15,750,2,-1,0,unknown,no
33,technician,married,secondary,no,852,no,no,cellular,14,388,8,-1,0,unknown,no
37,technician,single,secondary,no,1012,yes,no,cellular,20,218,4,-1,0,unknown,no
40,housemaid,married,tertiary,no,0,no,no,unknown,6,6,1,-1,0,unknown,no
32,admin.,married,secondary,no,1604,no,yes,cellular,7,625,1,-1,0,unknown,yes
27,management,single,tertiary,yes,1414,yes,no,cellular,2,95,1,-1,0,unknown,no
28,admin.,single,primary,no,25,yes,no,cellular,18,296,2,-1,0,unknown,no
51,management,married,tertiary,no,371,no,no,telephone,4,52,1,-1,0,unknown,no
49,admin.,married,secondary,no,1120,yes,no,telephone,11,226,2,-1,0,unknown,no
31,admin.,married,secondary,no,27,no,yes,unknown,9,63,1,-1,0,unknown,no
34,unemployed,married,secondary,no,978,no,no,cellular,3,262,2,71,1,success,yes
46,unemployed,married,secondary,no,594,no,no,cellular,4,197,2,-1,0,unknown,no
33,technician,single,tertiary,no,109,yes,yes,cellular,25,601,2,10,7,failure,yes
31,technician,married,secondary,no,0,no,no,cellular,20,102,2,-1,0,unknown,no
30,admin.,married,secondary,no,8781,yes,no,cellular,18,898,1,-1,0,unknown,yes
28,services,single,secondary,no,126,no,no,cellular,7,321,1,-1,0,unknown,no
47,blue-collar,married,secondary,no,303,no,no,unknown,11,261,1,-1,0,unknown,no
53,admin.,divorced,secondary,no,887,yes,no,unknown,13,169,2,-1,0,unknown,no
35,blue-collar,married,primary,no,2878,yes,no,cellular,18,140,2,-1,0,unknown,no
51,management,married,tertiary,no,346,no,no,cellular,11,237,1,180,6,success,yes
51,blue-collar,divorced,primary,no,602,yes,no,cellular,11,347,1,284,2,failure,no
42,management,married,tertiary,no,386,yes,no,unknown,7,168,1,-1,0,unknown,no
62,retired,married,secondary,no,3340,no,no,cellular,4,259,1,35,1,failure,no
38,unemployed,single,secondary,no,0,no,no,cellular,27,44,3,-1,0,unknown,no
35,management,single,tertiary,no,0,no,yes,cellular,11,71,3,-1,0,unknown,no
53,unemployed,married,secondary,no,94,no,no,cellular,10,493,1,181,14,success,yes
34,technician,single,secondary,no,664,yes,yes,cellular,11,88,2,343,2,other,no
46,blue-collar,married,secondary,no,6879,no,no,cellular,15,74,2,118,3,failure,no
60,blue-collar,married,primary,no,193,yes,no,telephone,12,89,2,-1,0,unknown,no
46,unemployed,married,secondary,no,931,no,no,cellular,29,156,5,-1,0,unknown,no
43,technician,married,tertiary,no,0,no,no,cellular,22,78,2,-1,0,unknown,no
37,management,married,tertiary,no,7974,yes,no,cellular,30,176,5,158,7,other,no
25,admin.,single,secondary,no,0,yes,no,cellular,5,461,1,-1,0,unknown,no
36,admin.,married,secondary,no,0,no,no,unknown,11,378,4,-1,0,unknown,no
26,management,single,tertiary,no,592,no,no,telephone,29,145,2,164,1,other,no
32,services,single,secondary,no,-121,yes,yes,unknown,13,272,1,-1,0,unknown,no
32,admin.,married,secondary,no,0,yes,yes,cellular,17,159,2,195,2,failure,no
40,services,married,primary,no,-9,yes,no,unknown,15,920,2,-1,0,unknown,yes
51,blue-collar,married,primary,no,620,yes,yes,cellular,29,88,10,-1,0,unknown,no
29,admin.,single,secondary,no,25,yes,no,cellular,14,244,1,343,2,failure,no
36,services,single,secondary,no,1482,yes,no,cellular,18,177,2,174,1,other,no
39,technician,married,secondary,no,0,yes,yes,cellular,21,83,1,-1,0,unknown,no
50,management,divorced,tertiary,no,813,yes,no,cellular,31,7,2,-1,0,unknown,no
34,unemployed,divorced,tertiary,yes,75,yes,no,unknown,2,31,3,-1,0,unknown,no
40,self-employed,married,tertiary,no,13669,no,no,cellular,15,138,1,136,8,other,no
33,management,single,tertiary,no,5437,no,no,cellular,7,201,1,58,3,failure,yes
44,management,married,secondary,no,2897,no,no,cellular,5,296,1,180,4,other,no
57,admin.,married,secondary,no,407,yes,yes,cellular,15,166,3,-1,0,unknown,no
37,management,married,secondary,no,58,no,no,telephone,28,75,20,-1,0,unknown,no
31,unemployed,single,primary,no,0,yes,no,unknown,15,24,18,-1,0,unknown,no
55,unknown,married,tertiary,no,0,no,no,unknown,16,409,3,-1,0,unknown,no
47,admin.,married,secondary,no,3960,yes,no,unknown,13,110,1,-1,0,unknown,no
51,management,single,tertiary,no,417,yes,no,unknown,9,18,1,-1,0,unknown,no
32,self-employed,single,tertiary,no,444,no,no,cellular,19,101,1,-1,0,unknown,no
57,admin.,married,secondary,no,5888,no,yes,unknown,11,288,3,-1,0,unknown,no
45,blue-collar,married,secondary,no,776,yes,no,cellular,6,232,4,253,1,failure,no
54,blue-collar,married,primary,no,2281,yes,no,unknown,20,158,1,-1,0,unknown,no
42,blue-collar,single,secondary,no,419,no,no,cellular,7,88,3,-1,0,unknown,no
60,services,married,unknown,no,132,yes,no,unknown,15,29,1,-1,0,unknown,no
46,blue-collar,divorced,primary,no,216,no,no,cellular,2,173,1,-1,0,unknown,no
53,retired,divorced,primary,no,2997,no,no,unknown,9,162,1,-1,0,unknown,no
32,management,single,tertiary,no,1434,no,no,cellular,11,1144,3,-1,0,unknown,no
49,services,married,secondary,no,-8,yes,no,unknown,8,1119,1,-1,0,unknown,yes
33,management,married,tertiary,no,643,no,no,cellular,2,203,3,94,1,other,no
36,technician,married,secondary,no,465,no,no,cellular,14,85,1,-1,0,unknown,no
41,management,divorced,tertiary,no,0,no,no,cellular,3,475,3,-1,0,unknown,no
52,unemployed,married,secondary,no,-9,no,no,unknown,9,123,1,-1,0,unknown,no
33,services,married,secondary,no,312,yes,yes,cellular,3,7,8,-1,0,unknown,no
38,technician,divorced,tertiary,yes,-530,yes,no,unknown,21,236,1,-1,0,unknown,no
31,admin.,single,secondary,no,81,yes,no,cellular,23,215,2,165,11,other,no
43,blue-collar,married,primary,no,2901,yes,no,cellular,13,179,4,-1,0,unknown,no
31,admin.,married,secondary,no,0,yes,yes,cellular,18,79,3,-1,0,unknown,no
24,unemployed,single,tertiary,no,39,yes,no,unknown,20,15,3,-1,0,unknown,no
58,entrepreneur,married,tertiary,no,853,no,no,unknown,5,1149,2,-1,0,unknown,yes
53,admin.,single,secondary,no,291,no,no,unknown,23,145,1,-1,0,unknown,no
36,housemaid,married,secondary,no,399,yes,no,cellular,22,139,1,-1,0,unknown,no
60,housemaid,married,unknown,no,5421,no,no,cellular,18,458,4,-1,0,unknown,no
49,self-employed,married,tertiary,no,23917,no,no,cellular,11,51,4,-1,0,unknown,no
45,entrepreneur,single,primary,no,0,no,no,cellular,7,354,1,-1,0,unknown,no
34,services,single,secondary,no,-701,yes,no,cellular,11,610,2,-1,0,unknown,yes
32,technician,married,tertiary,no,2688,no,no,cellular,18,101,1,-1,0,unknown,no
33,technician,single,unknown,no,135,yes,no,cellular,18,153,1,-1,0,unknown,no
53,services,married,secondary,no,-363,yes,no,cellular,7,201,2,-1,0,unknown,no
47,blue-collar,married,primary,no,430,no,no,unknown,8,89,8,-1,0,unknown,no
37,blue-collar,married,secondary,no,509,yes,no,cellular,20,172,1,-1,0,unknown,no
35,management,married,tertiary,no,552,yes,yes,cellular,19,314,2,124,1,failure,no
29,blue-collar,single,primary,no,950,yes,no,unknown,4,135,3,-1,0,unknown,no
29,services,single,secondary,no,32,yes,no,unknown,4,563,1,-1,0,unknown,yes
31,blue-collar,single,primary,no,124,yes,no,unknown,28,411,3,-1,0,unknown,no
30,management,single,tertiary,no,1372,no,no,cellular,20,240,2,-1,0,unknown,no
32,technician,single,secondary,no,1089,no,no,cellular,6,125,2,-1,0,unknown,no
44,housemaid,married,primary,no,241,yes,no,telephone,14,164,3,-1,0,unknown,no
31,self-employed,single,secondary,no,532,yes,no,unknown,16,90,7,-1,0,unknown,no
58,retired,divorced,unknown,no,5920,yes,no,cellular,23,255,1,-1,0,unknown,no
34,blue-collar,married,primary,no,218,yes,yes,unknown,21,260,1,-1,0,unknown,no
47,housemaid,married,secondary,no,4397,yes,no,cellular,25,110,1,-1,0,unknown,no
51,management,single,tertiary,no,297,yes,no,cellular,15,415,4,375,1,failure,yes
42,services,single,secondary,no,518,yes,no,unknown,6,198,1,-1,0,unknown,no
38,blue-collar,single,secondary,no,1121,no,no,unknown,18,203,1,-1,0,unknown,no
55,management,single,tertiary,no,797,no,no,cellular,29,24,2,-1,0,unknown,no
39,admin.,divorced,secondary,no,1089,yes,no,cellular,14,128,1,-1,0,unknown,no
40,blue-collar,married,primary,no,558,yes,yes,unknown,21,56,3,-1,0,unknown,no
50,technician,married,primary,no,883,yes,no,unknown,5,170,1,-1,0,unknown,no
57,retired,married,primary,no,4,no,no,cellular,21,50,5,-1,0,unknown,no
37,technician,single,secondary,no,363,yes,no,cellular,21,39,4,182,3,failure,no
34,blue-collar,married,secondary,yes,1,yes,no,cellular,9,394,1,-1,0,unknown,no
39,management,married,tertiary,no,-342,yes,no,unknown,27,110,2,-1,0,unknown,no
43,services,divorced,secondary,no,0,yes,no,unknown,6,125,2,-1,0,unknown,no
31,blue-collar,single,secondary,no,982,yes,no,cellular,14,182,1,-1,0,unknown,no
32,self-employed,single,tertiary,no,658,yes,no,cellular,27,283,1,-1,0,unknown,yes
61,retired,married,primary,no,1720,no,no,cellular,12,150,1,463,5,failure,no
28,admin.,single,secondary,no,-39,no,yes,cellular,18,64,2,-1,0,unknown,no
35,blue-collar,married,secondary,no,1257,yes,no,cellular,20,93,3,329,7,failure,no
33,entrepreneur,single,tertiary,no,75,yes,no,cellular,14,126,3,-1,0,unknown,no
50,technician,single,secondary,no,-97,yes,no,cellular,8,425,1,306,2,failure,no
29,services,single,unknown,no,33,no,no,unknown,1,161,1,-1,0,unknown,no
34,management,single,tertiary,no,-292,yes,no,cellular,11,111,2,-1,0,unknown,no
46,technician,married,secondary,no,520,no,no,cellular,25,61,4,-1,0,unknown,no
56,entrepreneur,married,tertiary,no,773,no,no,unknown,18,345,1,-1,0,unknown,no
31,blue-collar,married,primary,no,651,yes,no,unknown,13,241,2,-1,0,unknown,no
64,management,married,tertiary,no,3951,no,no,cellular,29,164,1,-1,0,unknown,yes
31,admin.,divorced,tertiary,no,-2,yes,no,cellular,19,300,1,-1,0,unknown,no
57,services,married,secondary,no,140,yes,no,cellular,9,143,1,-1,0,unknown,no
42,blue-collar,married,primary,no,-336,yes,no,telephone,15,12,6,-1,0,unknown,no
56,technician,married,secondary,no,2847,no,no,cellular,8,327,1,-1,0,unknown,yes
25,technician,single,tertiary,no,2206,yes,no,cellular,15,114,1,-1,0,unknown,no
52,technician,married,unknown,no,668,yes,no,cellular,31,212,4,-1,0,unknown,no
75,admin.,married,unknown,no,1093,no,no,cellular,22,369,1,-1,0,unknown,no
57,technician,divorced,tertiary,no,0,yes,no,cellular,31,24,16,-1,0,unknown,no
59,retired,married,unknown,no,201,no,no,cellular,31,69,7,-1,0,unknown,no
42,blue-collar,married,secondary,no,-269,yes,no,telephone,30,100,6,-1,0,unknown,no
52,technician,married,secondary,no,98,yes,no,cellular,28,103,1,245,2,failure,no
49,management,single,tertiary,no,7443,no,no,telephone,19,293,5,211,2,failure,yes
29,management,single,secondary,no,0,yes,no,cellular,22,403,7,-1,0,unknown,no
60,management,married,primary,no,92,no,no,telephone,2,447,1,-1,0,unknown,no
44,blue-collar,married,secondary,no,841,no,no,cellular,28,504,4,-1,0,unknown,no
22,admin.,single,tertiary,no,377,no,no,cellular,5,155,1,-1,0,unknown,no
36,blue-collar,married,primary,no,650,yes,no,unknown,12,170,2,-1,0,unknown,no
22,student,single,tertiary,no,691,no,no,cellular,30,260,5,103,1,success,yes
30,blue-collar,married,secondary,no,8,yes,no,cellular,19,473,1,-1,0,unknown,no
36,management,married,tertiary,no,753,no,no,cellular,26,71,5,40,4,failure,no
58,blue-collar,married,secondary,no,0,no,no,unknown,5,267,2,-1,0,unknown,no
33,technician,married,secondary,no,256,yes,no,cellular,18,76,1,-1,0,unknown,no
47,management,single,tertiary,no,0,no,no,cellular,21,136,2,-1,0,unknown,no
22,student,single,secondary,no,4132,no,no,telephone,3,34,2,-1,0,unknown,no
34,technician,married,secondary,no,-259,yes,no,unknown,27,124,2,-1,0,unknown,no
26,admin.,single,secondary,no,-378,no,yes,cellular,8,165,1,-1,0,unknown,no
42,blue-collar,married,primary,no,875,yes,no,cellular,17,426,5,148,1,failure,no
56,blue-collar,married,primary,no,1798,yes,no,unknown,29,228,3,-1,0,unknown,no
30,technician,married,tertiary,no,14355,no,no,cellular,7,244,2,-1,0,unknown,no
30,technician,single,tertiary,no,655,no,no,cellular,26,212,1,202,2,success,yes
30,management,married,tertiary,no,1185,yes,no,cellular,21,881,4,-1,0,unknown,no
30,management,single,tertiary,no,3773,yes,no,unknown,27,99,1,-1,0,unknown,no
54,blue-collar,married,primary,no,211,no,no,cellular,25,160,6,-1,0,unknown,no
36,technician,single,secondary,no,651,no,no,cellular,7,876,1,-1,0,unknown,yes
30,technician,single,tertiary,no,256,yes,no,unknown,3,276,2,-1,0,unknown,no
66,retired,married,secondary,no,154,no,no,cellular,15,268,5,181,2,failure,yes
38,management,single,tertiary,no,8,yes,no,cellular,28,219,2,-1,0,unknown,no
46,blue-collar,married,secondary,no,130,yes,no,cellular,14,106,1,349,1,failure,no
55,management,married,tertiary,no,2960,yes,no,cellular,31,81,1,98,11,other,no
35,admin.,married,secondary,yes,0,yes,yes,cellular,18,17,1,-1,0,unknown,no
60,self-employed,married,tertiary,no,10861,no,no,cellular,9,98,1,91,2,failure,yes
39,technician,married,secondary,no,186,no,no,cellular,2,171,1,-1,0,unknown,no
56,blue-collar,married,secondary,no,126,no,no,cellular,14,113,2,-1,0,unknown,no
46,blue-collar,married,secondary,no,1144,yes,no,cellular,8,376,2,129,3,other,yes
30,management,single,secondary,no,186,yes,no,cellular,20,235,3,-1,0,unknown,no
34,management,married,tertiary,no,1703,yes,no,cellular,22,153,5,-1,0,unknown,no
30,blue-collar,married,primary,no,9194,yes,no,unknown,23,178,2,-1,0,unknown,no
42,blue-collar,married,secondary,no,1307,yes,no,unknown,30,135,3,-1,0,unknown,no
35,technician,married,secondary,no,712,yes,yes,cellular,13,255,2,264,5,failure,no
52,management,married,tertiary,no,193,no,no,cellular,4,145,1,-1,0,unknown,no
54,technician,married,secondary,no,3994,no,yes,cellular,16,299,2,-1,0,unknown,yes
53,management,married,secondary,no,4601,yes,no,unknown,20,100,4,-1,0,unknown,no
40,management,married,primary,no,1231,yes,yes,unknown,15,184,2,-1,0,unknown,no
20,student,single,secondary,no,-322,yes,no,unknown,20,73,4,-1,0,unknown,no
29,blue-collar,single,tertiary,no,455,no,no,telephone,21,403,1,-1,0,unknown,yes
40,admin.,married,secondary,no,3126,yes,no,cellular,30,110,3,232,2,failure,no
34,blue-collar,married,secondary,no,8309,yes,yes,cellular,19,50,1,-1,0,unknown,no
29,self-employed,single,secondary,no,970,yes,no,cellular,13,240,1,-1,0,unknown,no
60,retired,divorced,primary,no,1327,yes,yes,unknown,14,80,1,-1,0,unknown,no
28,student,single,tertiary,no,385,yes,no,telephone,18,203,5,-1,0,unknown,no
44,unemployed,married,primary,no,97,yes,no,unknown,5,105,3,-1,0,unknown,no
32,management,married,tertiary,no,169,no,no,telephone,14,698,2,-1,0,unknown,yes
50,housemaid,married,secondary,no,388,no,no,cellular,8,152,2,89,2,success,no
32,blue-collar,married,secondary,no,5164,no,no,cellular,21,253,1,-1,0,unknown,no
27,services,married,secondary,no,221,no,yes,cellular,7,554,1,-1,0,unknown,no
26,self-employed,single,secondary,no,1018,no,no,cellular,5,101,1,-1,0,unknown,no
50,services,married,secondary,no,378,no,yes,telephone,18,55,9,-1,0,unknown,no
35,management,married,tertiary,no,451,yes,no,cellular,17,220,6,-1,0,unknown,no
55,retired,married,secondary,no,103,yes,yes,cellular,17,57,1,-1,0,unknown,no
41,management,divorced,tertiary,no,4329,yes,no,cellular,13,559,4,-1,0,unknown,no
33,admin.,married,secondary,no,730,yes,no,unknown,20,70,1,-1,0,unknown,no
28,management,single,tertiary,no,187,yes,no,cellular,22,263,2,-1,0,unknown,no
56,management,married,tertiary,no,2333,no,no,cellular,4,244,1,-1,0,unknown,yes
37,technician,divorced,tertiary,no,39,no,no,cellular,27,74,3,-1,0,unknown,no
51,management,married,tertiary,no,1612,no,no,cellular,16,384,1,182,5,failure,no
33,admin.,single,secondary,no,346,yes,no,cellular,5,24,7,354,2,other,no
29,technician,married,tertiary,no,1489,yes,no,unknown,28,430,1,-1,0,unknown,no
35,services,single,secondary,no,1354,no,yes,cellular,21,278,6,-1,0,unknown,no
30,management,single,tertiary,no,1038,no,no,cellular,12,88,2,-1,0,unknown,no
45,admin.,married,secondary,no,251,yes,no,cellular,19,102,2,-1,0,unknown,no
37,blue-collar,single,secondary,no,180,yes,no,cellular,8,114,2,-1,0,unknown,no
42,management,divorced,tertiary,no,1622,yes,no,cellular,12,158,2,-1,0,unknown,no
49,housemaid,divorced,secondary,no,267,no,no,telephone,9,23,5,-1,0,unknown,no
34,management,married,tertiary,no,-85,no,no,cellular,18,107,1,-1,0,unknown,no
60,retired,married,unknown,no,0,no,no,cellular,28,113,2,-1,0,unknown,no
34,blue-collar,married,secondary,no,3990,yes,no,cellular,18,591,2,117,7,failure,no
31,management,single,tertiary,no,0,no,no,cellular,26,120,6,-1,0,unknown,no
61,retired,married,primary,no,8729,no,no,cellular,30,480,1,-1,0,unknown,yes
34,admin.,divorced,secondary,no,627,yes,no,unknown,7,283,2,-1,0,unknown,no
36,technician,married,secondary,no,627,no,yes,cellular,4,146,3,244,1,other,no
55,management,married,secondary,no,51,no,no,cellular,8,102,1,-1,0,unknown,no
27,services,single,secondary,no,4923,yes,no,unknown,19,57,7,-1,0,unknown,no
46,management,married,tertiary,no,3984,no,no,cellular,13,77,2,-1,0,unknown,no
22,services,single,secondary,no,129,no,no,cellular,16,258,1,-1,0,unknown,yes
56,technician,married,secondary,no,225,yes,no,unknown,12,71,12,-1,0,unknown,no
44,services,single,secondary,no,492,yes,no,cellular,12,56,1,361,2,other,no
28,student,single,secondary,no,28,no,no,cellular,29,220,2,-1,0,unknown,no
54,self-employed,married,tertiary,no,66,yes,no,telephone,12,246,2,-1,0,unknown,no
44,blue-collar,married,secondary,no,72,yes,no,unknown,29,456,1,-1,0,unknown,no
49,blue-collar,married,primary,no,1,no,yes,cellular,5,98,1,210,1,other,no
46,blue-collar,married,secondary,no,877,no,no,cellular,29,339,2,-1,0,unknown,no
36,management,married,tertiary,no,327,yes,no,cellular,14,74,6,-1,0,unknown,no
43,entrepreneur,single,primary,no,2124,yes,no,cellular,19,104,1,-1,0,unknown,no
47,admin.,single,tertiary,no,178,no,no,telephone,5,17,6,-1,0,unknown,no
40,admin.,married,secondary,no,168,yes,no,cellular,7,249,2,169,1,failure,no
38,entrepreneur,married,tertiary,no,136,yes,yes,cellular,2,113,2,-1,0,unknown,no
46,services,divorced,secondary,no,864,yes,no,cellular,18,105,5,188,2,failure,no
38,blue-collar,single,primary,no,947,yes,no,cellular,12,361,2,-1,0,unknown,no
42,self-employed,married,tertiary,no,596,yes,no,unknown,19,66,9,-1,0,unknown,no
41,admin.,married,secondary,no,549,yes,no,cellular,8,326,4,-1,0,unknown,no
47,unemployed,married,primary,no,122,no,yes,unknown,5,240,3,-1,0,unknown,no
29,technician,single,secondary,yes,28,yes,no,cellular,18,203,1,-1,0,unknown,no
31,management,single,tertiary,no,874,yes,no,cellular,18,190,2,-1,0,unknown,no
27,services,married,secondary,no,271,yes,no,unknown,30,130,2,-1,0,unknown,no
31,admin.,married,secondary,no,212,yes,no,cellular,18,191,3,-1,0,unknown,no
35,technician,divorced,secondary,no,44,yes,yes,cellular,7,366,1,167,2,failure,no
